Subject,Group,Rh2A2.5000f.620345_D11 gp120.avi/293F,Rh2A2.5000f.Q769_D11 gp120.avi/293F,Rh2A2.5000f.Ce1086_B2 gp70-V1V2*,Rh2A2.5000f.V3,Rh2A2.5000f.FLSC (CD4i),Rh2A2.5000f.STG/KLE,Rh2A2.5000f.9004S gp140C.avi*,Rh2A2.5000f.gp140 SHIV SF162P3,Rh2A2.5000f.Gag SIV mac239,Rh2A2.5000f.STG-WT,Rh2A2.5000f.CH505w020.14D8 gp120 293F,Rh2A2.5000f.gp41 HxBc2,Rh2A2.5000f.B.6240 D11gp120.avi/293F*,Rh2A2.5000f.p24 HxBc2,Rh2A2.5000f.BJOX028_D11 gp120.avi/293F,Rh2A2.5000f.B.6240 gp140C/293F,Rh2A2.5000f.C.089_D11 gp120/293F,Rh2A2.5000f.CH505w030.20D8gp120/293F,Rh2A2.5000f.gp120 SHIV SF162P3,Rh2A2.5000f.CH505.w30.12D8gp120/293F,Rh2A2.5000f.CH505.M11 D8 gp120/293F,Rh2A2.5000f.CH505w136.B18D8gp120/293F,Rh2A2.5000f.C.CH505TF gp140/293F*,Rh2A2.5000f.C3347_11 gp140C.avi,Rh2A2.5000f.gp120 JRCSF,Rh2A2.5000f.CH505.M5D8gp120/293F,Rh2A2.5000f.CH0505_TF D7gp120/293F/Mon,Rh2A4.5000f.620345_D11 gp120.avi/293F,Rh2A4.5000f.Q769_D11 gp120.avi/293F,Rh2A4.5000f.V3,Rh2A4.5000f.RSC,Rh2A4.5000f.FLSC (CD4i),Rh2A4.5000f.STG/KLE,Rh2A4.5000f.Gag SIV mac239,Rh2A4.5000f.CH505w020.14D8 gp120 293F,Rh2A4.5000f.B.6240 D11gp120.avi/293F*,Rh2A4.5000f.p24 HxBc2,Rh2A4.5000f.BJOX028_D11 gp120.avi/293F,Rh2A4.5000f.CH505w030.20D8gp120/293F,Rh2A4.5000f.CH505.w30.12D8gp120/293F,Rh2A4.5000f.62357_14 gp70-V1V2*,Rh2A4.5000f.CH505.M11 D8 gp120/293F,Rh2A4.5000f.CH505w136.B18D8gp120/293F,Rh2A4.5000f.C.CH505TF gp140/293F*,Rh2A4.5000f.gp120 JRCSF,Rh2A4.5000f.CH505.M5D8gp120/293F,Rh2A4.5000f.CH0505_TF D7gp120/293F/Mon,Rh2A4.5000f.REJO4541.67 gp70-V1V2,Rh2A3.5000f.620345_D11 gp120.avi/293F,Rh2A3.5000f.Q769_D11 gp120.avi/293F,Rh2A3.5000f.IIIB pr55 Gag,Rh2A3.5000f.CaseA2 gp70 V1V2*,Rh2A3.5000f.V3,Rh2A3.5000f.RSC,Rh2A3.5000f.FLSC (CD4i),Rh2A3.5000f.STG/KLE,Rh2A3.5000f.9004S gp140C.avi*,Rh2A3.5000f.gp140 SHIV SF162P3,Rh2A3.5000f.Gag SIV mac239,Rh2A3.5000f.STG-WT,Rh2A3.5000f.CH505w020.14D8 gp120 293F,Rh2A3.5000f.gp41 HxBc2,Rh2A3.5000f.B.6240 D11gp120.avi/293F*,Rh2A3.5000f.p24 HxBc2,Rh2A3.5000f.BJOX028_D11 gp120.avi/293F,Rh2A3.5000f.B.6240 gp140C/293F,Rh2A3.5000f.C.089_D11 gp120/293F,Rh2A3.5000f.CH505w030.20D8gp120/293F,Rh2A3.5000f.gp120 SHIV SF162P3,Rh2A3.5000f.CH505.w30.12D8gp120/293F,Rh2A3.5000f.CH505.M11 D8 gp120/293F,Rh2A3.5000f.CH505w136.B18D8gp120/293F,Rh2A3.5000f.C.CH505TF gp140/293F*,Rh2A3.5000f.C3347_11 gp140C.avi,Rh2A3.5000f.gp120 JRCSF,Rh2A3.5000f.CH505.M5D8gp120/293F,Rh2A3.5000f.CNE5 gp140C.avi/293F,Rh2A3.5000f.CH0505_TF D7gp120/293F/Mon,Rh3A3.5000f.620345_D11 gp120.avi/293F,Rh3A3.5000f.Q769_D11 gp120.avi/293F,Rh3A3.5000f.IIIB pr55 Gag,Rh3A3.5000f.V3,Rh3A3.5000f.RSC,Rh3A3.5000f.FLSC (CD4i),Rh3A3.5000f.7060101641A7 gp70-V1V2*,Rh3A3.5000f.STG/KLE,Rh3A3.5000f.Gag SIV mac239,Rh3A3.5000f.STG-WT,Rh3A3.5000f.CH505w020.14D8 gp120 293F,Rh3A3.5000f.B.6240 D11gp120.avi/293F*,Rh3A3.5000f.BJOX028_D11 gp120.avi/293F,Rh3A3.5000f.C.089_D11 gp120/293F,Rh3A3.5000f.CH505w030.20D8gp120/293F,Rh3A3.5000f.gp120 SHIV SF162P3,Rh3A3.5000f.CH505.w30.12D8gp120/293F,Rh3A3.5000f.CH505.M11 D8 gp120/293F,Rh3A3.5000f.CH505w136.B18D8gp120/293F,Rh3A3.5000f.C.CH505TF gp140/293F*,Rh3A3.5000f.gp120 JRCSF,Rh3A3.5000f.CH505.M5D8gp120/293F,Rh3A3.5000f.CH0505_TF D7gp120/293F/Mon,Rh3A3.5000f.REJO4541.67 gp70-V1V2,Rh3A1.5000f.620345_D11 gp120.avi/293F,Rh3A1.5000f.Q769_D11 gp120.avi/293F,Rh3A1.5000f.IIIB pr55 Gag,Rh3A1.5000f.CaseA2 gp70 V1V2*,Rh3A1.5000f.Ce1086_B2 gp70-V1V2*,Rh3A1.5000f.V3,Rh3A1.5000f.FLSC (CD4i),Rh3A1.5000f.STG/KLE,Rh3A1.5000f.gp140 SHIV SF162P3,Rh3A1.5000f.Gag SIV mac239,Rh3A1.5000f.STG-WT,Rh3A1.5000f.CH505w020.14D8 gp120 293F,Rh3A1.5000f.gp41 HxBc2,Rh3A1.5000f.B.6240 D11gp120.avi/293F*,Rh3A1.5000f.p24 HxBc2,Rh3A1.5000f.BJOX028_D11 gp120.avi/293F,Rh3A1.5000f.B.6240 gp140C/293F,Rh3A1.5000f.C.089_D11 gp120/293F,Rh3A1.5000f.CH505w030.20D8gp120/293F,Rh3A1.5000f.gp120 SHIV SF162P3,Rh3A1.5000f.CH505.w30.12D8gp120/293F,Rh3A1.5000f.CH505.M11 D8 gp120/293F,Rh3A1.5000f.CH505w136.B18D8gp120/293F,Rh3A1.5000f.C.CH505TF gp140/293F*,Rh3A1.5000f.C3347_11 gp140C.avi,Rh3A1.5000f.gp120 JRCSF,Rh3A1.5000f.CH505.M5D8gp120/293F,Rh3A1.5000f.CNE5 gp140C.avi/293F,Rh3A1.5000f.CH0505_TF D7gp120/293F/Mon
EE32,2,337.5,216.5,84.5,1003.0,32199.25,116.5,90.25,122.0,265.5,196.0,2959.75,148.25,485.5,182.0,130.5,97.5,65.5,3258.25,88.5,3367.0,2428.25,3262.5,241.0,92.0,169.75,5284.0,2845.25,134.75,165.0,1695.0,164.5,39233.25,145.25,723.5,1676.0,205.0,251.75,129.25,1473.0,1214.5,125.75,945.25,1745.75,117.5,220.75,3947.25,1411.0,49.0,130.75,140.5,165.0,77.5,891.25,109.0,20184.5,139.0,90.0,105.25,237.5,180.0,1329.0,142.75,176.0,177.25,92.0,88.0,46.75,1086.0,78.0,959.5,795.0,1385.5,154.0,79.0,148.5,3021.5,100.0,1170.5,716.75,456.75,162.0,845.5,104.0,33537.5,54.5,118.0,313.0,172.25,7729.75,1504.75,166.75,62.75,4868.5,78.5,3952.5,4143.75,6859.25,416.25,207.5,12815.75,4421.0,70.0,804.5,634.5,197.0,93.5,110.0,910.5,44289.5,93.5,118.0,298.0,177.25,7606.0,156.0,1138.5,241.5,179.75,89.25,57.5,5135.25,108.0,5219.0,4425.5,6982.5,421.5,122.75,195.0,10104.25,114.75,5297.75
GB06,2,10465.25,6149.5,209.0,8689.0,40144.75,1251.25,157.5,312.5,479.5,2185.25,33191.25,191.25,10268.25,310.75,2614.75,980.75,897.25,30841.0,501.25,34527.0,30411.0,33512.0,5369.0,790.25,2913.0,53902.5,30818.25,10932.75,9361.0,11099.0,130.5,61544.0,759.75,495.5,52796.25,9358.75,203.25,1647.5,45298.5,49230.5,50.0,42403.25,53209.25,3315.75,1881.0,72998.0,62553.0,106.5,13668.0,16940.75,149.25,61.0,11502.5,99.25,80583.75,2124.75,102.0,243.5,151.5,4295.0,69639.0,148.5,18996.75,162.0,3605.5,1320.5,1625.75,58729.0,495.75,59325.5,54353.0,68048.0,11363.75,1181.5,5027.0,79464.0,105.0,63809.0,14653.5,8643.75,160.5,8460.5,116.25,42648.25,115.25,2671.75,217.75,5079.0,35228.25,13401.25,6225.5,3304.0,37348.25,1171.5,35663.5,36534.5,37600.5,9549.75,3814.25,58406.0,45593.5,91.0,26696.5,16270.5,196.0,77.0,96.25,14271.0,69763.75,5215.25,1913.5,215.0,14054.0,60194.75,147.75,29026.25,251.5,13381.75,7982.75,5286.0,57325.0,2528.5,62888.5,68542.25,63609.75,20735.5,6057.75,8663.5,76753.5,129.75,65064.5
GH90,2,3403.25,11796.5,126.25,3688.75,1992.0,292.5,114.0,165.25,448.0,361.25,18116.5,256.5,7030.5,257.25,1476.75,142.0,128.5,18527.5,195.0,13790.75,11466.0,19567.5,841.75,158.25,695.25,35312.0,16128.0,2365.0,10212.0,3766.5,146.0,2769.5,180.25,567.75,26839.5,7511.0,182.0,455.5,22089.5,20260.0,73.0,11791.0,24306.0,286.0,443.25,52492.25,25114.25,105.25,7289.25,19551.5,161.75,64.75,3085.75,109.25,5408.75,191.0,126.5,159.25,245.75,350.5,42630.5,160.0,15992.0,174.75,2091.0,77.25,97.5,35072.5,133.0,29935.5,26315.5,38322.5,1151.75,109.25,1162.0,63013.0,113.5,36822.5,6808.5,16652.5,180.5,2343.0,123.0,4019.75,78.5,437.5,366.25,565.25,24524.5,10998.75,2658.5,420.0,19667.25,348.25,19446.75,14990.0,14995.75,2607.75,1469.25,38196.0,22186.5,84.25,27424.0,43363.5,201.0,83.5,77.75,8855.5,23548.5,1289.0,881.25,872.5,2428.25,67633.0,744.5,46994.5,156.5,14705.25,291.5,1966.5,59967.5,1906.0,59405.0,58137.75,64513.5,12765.5,560.0,6118.5,84987.25,448.25,67224.0
GI26,1,5738.25,18627.5,94.25,12635.75,28823.0,213.0,129.75,215.5,215.5,359.5,27160.5,163.25,9649.75,177.0,1203.0,119.75,210.5,24380.25,310.25,22935.75,22758.0,31620.5,2586.25,130.0,707.5,41394.0,32973.5,2824.0,14107.0,14424.75,128.25,35656.0,128.5,684.25,32829.75,5249.5,245.0,273.0,30869.75,33547.0,84.5,25899.5,28484.75,651.75,366.0,54923.0,31700.75,65.0,3478.0,10373.0,145.5,52.5,6675.0,101.75,27537.25,161.0,102.75,145.5,163.75,265.25,19047.5,133.75,3524.0,160.75,342.75,90.0,114.0,18400.0,136.75,18086.0,13971.25,21718.5,1124.0,79.75,439.5,33902.0,98.0,22786.75,9126.5,17691.5,187.75,6389.5,99.5,24965.75,90.0,711.25,167.5,526.25,25888.25,9735.5,2523.5,807.0,30592.5,744.75,30105.5,25108.5,26209.0,5321.0,722.25,39124.5,32523.5,76.25,10166.0,12527.75,160.0,44.75,130.5,7414.5,30333.5,408.5,339.25,197.0,648.75,27378.5,199.75,11582.5,149.0,2317.0,230.5,644.5,24560.0,843.5,28350.0,27606.0,26173.75,4714.25,270.0,814.5,39061.5,134.5,28958.0
GI29,2,1451.5,2566.75,134.5,947.0,564.75,276.5,95.75,156.25,374.25,297.5,18814.0,181.5,10128.0,151.25,209.0,106.0,87.5,13677.0,120.0,11441.5,6464.5,14682.5,270.0,95.0,304.5,35048.5,16816.5,209.0,445.75,1082.5,99.5,312.5,199.75,542.25,13415.5,5016.0,189.5,147.75,8803.25,6036.0,102.0,2679.25,9604.25,128.0,199.5,31998.75,8605.5,84.75,2107.5,3938.0,190.75,61.25,863.0,90.75,931.5,260.25,120.5,117.0,443.5,279.5,43772.5,148.75,17541.0,182.25,192.5,80.5,64.5,26751.0,96.5,22026.25,14975.5,28020.25,249.5,84.25,264.75,52301.75,113.0,30219.5,2583.5,3031.5,154.5,662.0,113.0,1128.25,536.0,537.25,246.25,529.5,20540.25,13774.5,510.25,100.5,16719.5,256.0,15082.0,12398.0,18009.0,975.25,358.75,35686.25,17563.5,92.25,9057.0,11019.5,306.0,137.75,652.0,1155.0,4883.25,1156.75,280.0,670.0,1048.75,53597.5,274.5,39726.25,149.0,1082.0,121.5,225.5,43448.75,795.25,44221.25,33709.0,49875.25,2626.0,168.75,1123.75,70724.5,129.5,44949.0
GI36,2,25469.25,36659.25,1448.5,6820.5,32881.5,227.75,291.0,211.0,8437.5,291.5,57078.25,153.0,24340.25,6405.5,3232.0,97.75,131.5,52452.0,286.25,41893.0,37765.75,43228.75,4802.0,317.0,10211.5,88360.75,62484.25,4793.5,12285.0,4379.5,128.0,14221.0,189.75,7552.25,34475.25,7267.25,3333.5,268.5,29178.5,21176.0,92.0,14096.5,27040.0,544.75,1578.75,75388.25,35954.25,128.0,20587.0,38146.75,179.25,95.25,4900.5,106.5,34424.5,176.5,173.0,176.5,13358.75,260.5,67280.5,150.75,32447.0,4877.5,2857.5,90.5,86.5,66849.0,243.75,45460.0,50324.5,56609.5,5348.0,187.0,9017.5,105410.0,139.75,72713.5,9852.0,17555.5,182.5,2702.5,114.0,19012.0,196.25,297.75,8464.5,309.0,36431.25,13532.0,1766.75,142.5,27252.0,240.5,25028.5,22507.5,20244.5,3970.25,2472.0,54973.5,36064.5,94.25,28361.25,45130.5,774.0,259.5,1195.0,7392.0,47284.0,752.5,455.5,19873.75,782.25,70309.5,152.25,41357.5,11487.0,7658.5,108.25,464.0,67553.75,963.75,53813.5,51699.5,55091.5,13268.5,834.5,9286.0,93710.25,262.0,71531.5
GI46,2,11635.75,5525.25,100.5,2672.5,73863.5,182.75,117.25,179.0,215.0,267.0,34785.0,153.75,9751.5,156.0,1604.5,343.5,104.0,31414.0,216.5,31121.75,30497.0,37278.25,5915.0,168.5,1708.0,57548.5,38218.75,1462.0,1024.75,2392.5,146.0,47803.5,142.5,529.75,16307.0,1658.75,216.5,220.75,17258.25,11361.5,95.25,8962.0,13498.0,632.5,366.25,32004.75,15855.0,105.0,11386.25,6872.0,185.25,83.5,2299.0,116.75,81833.75,161.25,129.25,147.0,154.5,217.75,39737.5,150.5,13331.25,139.0,1241.5,310.25,127.0,39840.0,159.25,32845.0,24883.75,38533.25,4806.25,150.5,1036.0,62871.0,96.75,34584.0,5005.5,4954.75,185.0,1635.5,92.75,40196.25,131.0,158.75,143.25,242.0,15067.5,7647.25,1665.5,251.75,16125.0,511.0,17066.25,12787.5,18457.25,4640.25,1741.0,30552.5,17688.5,81.5,25037.5,22582.5,207.0,84.75,112.0,5231.0,83419.0,317.5,1181.5,242.5,444.5,60893.5,326.75,28384.0,162.5,11958.5,1144.5,1369.5,56262.25,2214.25,51813.0,47699.0,55478.25,16136.75,605.25,8408.5,67809.5,127.75,57370.5
GM22,2,23090.5,19479.0,268.75,42099.75,39978.5,847.0,350.75,2189.0,763.75,931.25,82175.25,1807.5,11179.0,195.25,10722.25,466.75,5066.5,72550.5,5498.25,82897.5,74803.25,81126.0,21680.25,1996.5,5442.5,94299.75,81539.0,25996.75,26278.0,73456.25,138.25,70601.5,461.75,3585.0,118651.5,20321.5,332.5,6465.0,106017.0,104778.75,81.0,100530.75,110631.5,28777.0,8284.75,130660.75,115378.25,107.5,26946.5,24821.25,175.5,72.25,44562.0,114.0,55410.0,606.25,247.0,2100.25,493.5,1115.5,98824.25,1778.25,17086.0,147.75,11045.5,508.0,6614.0,90477.0,5624.0,84640.75,81930.5,100170.75,28435.5,1226.75,4995.75,113638.75,172.5,87374.0,28146.0,23510.25,175.0,44625.5,126.75,48407.25,388.25,2136.0,1252.0,2835.25,75922.5,19659.5,14953.0,11574.0,67367.5,13093.5,70186.75,67024.0,76592.75,24209.5,9075.75,94619.75,77693.0,83.5,27781.75,25548.5,237.5,79.25,698.75,39880.0,60484.5,1837.5,10120.25,1382.75,3478.0,95602.25,9243.75,30884.25,154.0,21093.5,2919.25,24105.5,91186.75,15666.5,91107.5,92147.75,88215.0,34089.0,10654.25,11408.75,112257.5,287.5,95687.5
HF57,2,25223.0,19828.75,131.0,17984.25,637.0,232.0,172.5,188.5,228.5,270.75,83969.75,169.25,14603.0,300.0,5685.0,85.75,553.0,71576.25,219.0,77709.5,70687.5,77681.0,18336.0,147.5,1605.0,109754.5,79486.5,45585.0,33489.5,24890.5,122.0,703.0,142.0,1029.75,112907.25,20528.0,667.0,5188.0,102978.75,113721.0,54.75,105971.0,111658.0,14574.75,933.25,135545.0,113859.0,122.5,40584.0,27798.75,193.5,80.5,19520.5,114.5,942.5,190.0,132.0,166.75,168.5,225.25,110865.5,189.5,18155.5,240.25,4153.0,98.25,836.75,96483.0,180.5,102006.75,94539.5,87294.5,19548.0,122.25,2338.25,129277.0,208.5,111723.75,23292.25,20438.75,179.25,5594.75,109.5,1088.5,129.25,349.0,185.25,342.25,74810.75,9796.5,4880.5,674.5,67109.5,271.75,67711.5,72289.5,60978.5,15154.0,836.25,94522.0,82695.5,72.25,36749.0,32015.0,181.25,83.5,94.5,7586.0,1432.25,391.0,279.0,229.0,409.5,92039.5,809.75,21150.5,785.0,6891.5,79.25,995.0,89130.0,484.5,89033.5,89033.5,83368.0,23485.75,191.0,1982.25,119707.5,279.75,101353.0
HP40,2,6076.5,2221.5,86.0,23073.25,16842.75,215.5,182.75,176.0,14937.0,273.75,30313.5,736.75,4723.75,1994.5,570.25,109.0,832.0,25475.0,170.75,19018.0,16931.0,21958.5,3471.5,110.5,938.75,36195.25,17648.5,5093.25,1503.5,37490.75,283.5,13318.75,383.75,25784.5,41440.5,3650.5,3818.25,280.0,31740.75,33219.75,171.75,25360.5,42151.25,2255.0,297.25,58901.5,36309.5,128.0,7483.75,2249.5,174.75,65.0,26295.0,87.25,12949.25,185.0,112.75,131.0,12261.0,316.0,26639.75,731.0,6317.25,1195.5,360.5,88.0,479.0,27031.75,126.0,21150.0,15257.5,28912.75,3326.0,88.25,466.75,40925.5,108.0,24137.75,16356.25,9117.75,193.5,17806.5,107.5,24432.75,97.5,497.75,18180.5,1166.0,43290.25,11096.0,2960.0,3378.5,38711.5,624.0,33326.0,33749.5,40253.25,11766.5,1614.0,50040.0,38305.25,91.25,34589.5,21173.0,276.25,92.0,114.0,33879.5,36834.0,1925.5,952.0,31009.5,2875.75,64161.25,12695.5,30907.0,15049.75,4322.0,761.5,9333.0,56631.75,1509.25,60234.5,53040.5,67417.5,18650.0,977.0,3051.25,77089.0,152.75,68258.0
