Subject,Group,Rh3A3.5000f.620345_D11 gp120.avi/293F,Rh3A3.5000f.Q769_D11 gp120.avi/293F,Rh3A3.5000f.IIIB pr55 Gag,Rh3A3.5000f.V3,Rh3A3.5000f.RSC,Rh3A3.5000f.FLSC (CD4i),Rh3A3.5000f.7060101641A7 gp70-V1V2*,Rh3A3.5000f.STG/KLE,Rh3A3.5000f.Gag SIV mac239,Rh3A3.5000f.STG-WT,Rh3A3.5000f.CH505w020.14D8 gp120 293F,Rh3A3.5000f.B.6240 D11gp120.avi/293F*,Rh3A3.5000f.BJOX028_D11 gp120.avi/293F,Rh3A3.5000f.C.089_D11 gp120/293F,Rh3A3.5000f.CH505w030.20D8gp120/293F,Rh3A3.5000f.gp120 SHIV SF162P3,Rh3A3.5000f.CH505.w30.12D8gp120/293F,Rh3A3.5000f.CH505.M11 D8 gp120/293F,Rh3A3.5000f.CH505w136.B18D8gp120/293F,Rh3A3.5000f.C.CH505TF gp140/293F*,Rh3A3.5000f.gp120 JRCSF,Rh3A3.5000f.CH505.M5D8gp120/293F,Rh3A3.5000f.CH0505_TF D7gp120/293F/Mon,Rh3A3.5000f.REJO4541.67 gp70-V1V2,Rh3A1.5000f.620345_D11 gp120.avi/293F,Rh3A1.5000f.Q769_D11 gp120.avi/293F,Rh3A1.5000f.IIIB pr55 Gag,Rh3A1.5000f.CaseA2 gp70 V1V2*,Rh3A1.5000f.Ce1086_B2 gp70-V1V2*,Rh3A1.5000f.V3,Rh3A1.5000f.FLSC (CD4i),Rh3A1.5000f.STG/KLE,Rh3A1.5000f.gp140 SHIV SF162P3,Rh3A1.5000f.Gag SIV mac239,Rh3A1.5000f.STG-WT,Rh3A1.5000f.CH505w020.14D8 gp120 293F,Rh3A1.5000f.gp41 HxBc2,Rh3A1.5000f.B.6240 D11gp120.avi/293F*,Rh3A1.5000f.p24 HxBc2,Rh3A1.5000f.BJOX028_D11 gp120.avi/293F,Rh3A1.5000f.B.6240 gp140C/293F,Rh3A1.5000f.C.089_D11 gp120/293F,Rh3A1.5000f.CH505w030.20D8gp120/293F,Rh3A1.5000f.gp120 SHIV SF162P3,Rh3A1.5000f.CH505.w30.12D8gp120/293F,Rh3A1.5000f.CH505.M11 D8 gp120/293F,Rh3A1.5000f.CH505w136.B18D8gp120/293F,Rh3A1.5000f.C.CH505TF gp140/293F*,Rh3A1.5000f.C3347_11 gp140C.avi,Rh3A1.5000f.gp120 JRCSF,Rh3A1.5000f.CH505.M5D8gp120/293F,Rh3A1.5000f.CNE5 gp140C.avi/293F,Rh3A1.5000f.CH0505_TF D7gp120/293F/Mon
EE32,2,716.75,456.75,162.0,845.5,104.0,33537.5,54.5,118.0,313.0,172.25,7729.75,1504.75,166.75,62.75,4868.5,78.5,3952.5,4143.75,6859.25,416.25,207.5,12815.75,4421.0,70.0,804.5,634.5,197.0,93.5,110.0,910.5,44289.5,93.5,118.0,298.0,177.25,7606.0,156.0,1138.5,241.5,179.75,89.25,57.5,5135.25,108.0,5219.0,4425.5,6982.5,421.5,122.75,195.0,10104.25,114.75,5297.75
GB06,2,14653.5,8643.75,160.5,8460.5,116.25,42648.25,115.25,2671.75,217.75,5079.0,35228.25,13401.25,6225.5,3304.0,37348.25,1171.5,35663.5,36534.5,37600.5,9549.75,3814.25,58406.0,45593.5,91.0,26696.5,16270.5,196.0,77.0,96.25,14271.0,69763.75,5215.25,1913.5,215.0,14054.0,60194.75,147.75,29026.25,251.5,13381.75,7982.75,5286.0,57325.0,2528.5,62888.5,68542.25,63609.75,20735.5,6057.75,8663.5,76753.5,129.75,65064.5
GH90,2,6808.5,16652.5,180.5,2343.0,123.0,4019.75,78.5,437.5,366.25,565.25,24524.5,10998.75,2658.5,420.0,19667.25,348.25,19446.75,14990.0,14995.75,2607.75,1469.25,38196.0,22186.5,84.25,27424.0,43363.5,201.0,83.5,77.75,8855.5,23548.5,1289.0,881.25,872.5,2428.25,67633.0,744.5,46994.5,156.5,14705.25,291.5,1966.5,59967.5,1906.0,59405.0,58137.75,64513.5,12765.5,560.0,6118.5,84987.25,448.25,67224.0
GI26,1,9126.5,17691.5,187.75,6389.5,99.5,24965.75,90.0,711.25,167.5,526.25,25888.25,9735.5,2523.5,807.0,30592.5,744.75,30105.5,25108.5,26209.0,5321.0,722.25,39124.5,32523.5,76.25,10166.0,12527.75,160.0,44.75,130.5,7414.5,30333.5,408.5,339.25,197.0,648.75,27378.5,199.75,11582.5,149.0,2317.0,230.5,644.5,24560.0,843.5,28350.0,27606.0,26173.75,4714.25,270.0,814.5,39061.5,134.5,28958.0
GI29,2,2583.5,3031.5,154.5,662.0,113.0,1128.25,536.0,537.25,246.25,529.5,20540.25,13774.5,510.25,100.5,16719.5,256.0,15082.0,12398.0,18009.0,975.25,358.75,35686.25,17563.5,92.25,9057.0,11019.5,306.0,137.75,652.0,1155.0,4883.25,1156.75,280.0,670.0,1048.75,53597.5,274.5,39726.25,149.0,1082.0,121.5,225.5,43448.75,795.25,44221.25,33709.0,49875.25,2626.0,168.75,1123.75,70724.5,129.5,44949.0
GI36,2,9852.0,17555.5,182.5,2702.5,114.0,19012.0,196.25,297.75,8464.5,309.0,36431.25,13532.0,1766.75,142.5,27252.0,240.5,25028.5,22507.5,20244.5,3970.25,2472.0,54973.5,36064.5,94.25,28361.25,45130.5,774.0,259.5,1195.0,7392.0,47284.0,752.5,455.5,19873.75,782.25,70309.5,152.25,41357.5,11487.0,7658.5,108.25,464.0,67553.75,963.75,53813.5,51699.5,55091.5,13268.5,834.5,9286.0,93710.25,262.0,71531.5
GI46,2,5005.5,4954.75,185.0,1635.5,92.75,40196.25,131.0,158.75,143.25,242.0,15067.5,7647.25,1665.5,251.75,16125.0,511.0,17066.25,12787.5,18457.25,4640.25,1741.0,30552.5,17688.5,81.5,25037.5,22582.5,207.0,84.75,112.0,5231.0,83419.0,317.5,1181.5,242.5,444.5,60893.5,326.75,28384.0,162.5,11958.5,1144.5,1369.5,56262.25,2214.25,51813.0,47699.0,55478.25,16136.75,605.25,8408.5,67809.5,127.75,57370.5
GM22,2,28146.0,23510.25,175.0,44625.5,126.75,48407.25,388.25,2136.0,1252.0,2835.25,75922.5,19659.5,14953.0,11574.0,67367.5,13093.5,70186.75,67024.0,76592.75,24209.5,9075.75,94619.75,77693.0,83.5,27781.75,25548.5,237.5,79.25,698.75,39880.0,60484.5,1837.5,10120.25,1382.75,3478.0,95602.25,9243.75,30884.25,154.0,21093.5,2919.25,24105.5,91186.75,15666.5,91107.5,92147.75,88215.0,34089.0,10654.25,11408.75,112257.5,287.5,95687.5
HF57,2,23292.25,20438.75,179.25,5594.75,109.5,1088.5,129.25,349.0,185.25,342.25,74810.75,9796.5,4880.5,674.5,67109.5,271.75,67711.5,72289.5,60978.5,15154.0,836.25,94522.0,82695.5,72.25,36749.0,32015.0,181.25,83.5,94.5,7586.0,1432.25,391.0,279.0,229.0,409.5,92039.5,809.75,21150.5,785.0,6891.5,79.25,995.0,89130.0,484.5,89033.5,89033.5,83368.0,23485.75,191.0,1982.25,119707.5,279.75,101353.0
HP40,2,16356.25,9117.75,193.5,17806.5,107.5,24432.75,97.5,497.75,18180.5,1166.0,43290.25,11096.0,2960.0,3378.5,38711.5,624.0,33326.0,33749.5,40253.25,11766.5,1614.0,50040.0,38305.25,91.25,34589.5,21173.0,276.25,92.0,114.0,33879.5,36834.0,1925.5,952.0,31009.5,2875.75,64161.25,12695.5,30907.0,15049.75,4322.0,761.5,9333.0,56631.75,1509.25,60234.5,53040.5,67417.5,18650.0,977.0,3051.25,77089.0,152.75,68258.0
IA21,1,26386.75,37749.5,172.25,2430.0,120.75,66364.75,71.5,2109.25,1876.5,3664.25,59282.25,36878.5,9541.0,2045.0,55443.5,1364.5,49232.5,52154.5,52315.0,14410.0,4722.5,76971.0,63030.0,89.5,58938.75,62194.75,194.5,86.75,98.25,4612.75,103012.5,5216.0,1657.5,4852.0,9856.5,92027.75,1010.5,66639.0,9146.25,19508.25,5249.25,6084.75,92636.0,3554.75,86652.25,80572.0,89977.0,30708.5,5459.5,13220.5,115605.0,412.5,90726.5
IA36,1,1297.0,2337.5,190.0,8399.25,66.5,3016.25,86.5,238.25,198.25,206.5,14581.5,2132.25,264.75,153.75,15268.5,238.5,19493.5,13602.0,16585.0,1502.25,411.25,34723.5,20553.25,85.0,7004.5,14599.5,231.0,91.0,774.75,15352.5,19125.0,251.0,340.0,243.5,349.5,59239.75,154.0,12963.5,194.5,853.5,104.0,622.75,48676.25,841.0,53324.5,52960.5,55796.5,5140.0,130.0,1018.75,67752.5,138.0,55404.25
IN66,2,19614.5,11994.0,491.5,12870.5,139.75,77973.75,108.25,2041.75,8305.25,2871.5,39617.0,22610.75,10231.75,3389.25,37938.25,10330.25,33589.25,29498.0,38264.75,48458.5,29245.75,54475.0,36758.0,256.75,25952.0,19592.25,336.0,125.75,144.75,14975.0,77566.0,805.75,12762.75,3476.75,1125.25,53120.25,121958.0,26582.75,114866.0,6556.5,26713.5,2498.0,58621.0,2300.5,54722.5,48267.0,59240.25,32254.0,11381.0,11343.0,65365.75,516.75,56018.25
JC25,1,5766.75,7377.5,244.0,8861.0,108.25,20387.5,120.5,329.5,299.0,573.5,37457.25,12122.5,1089.75,977.5,35176.5,271.0,34162.25,29194.5,28867.5,3540.25,438.5,52338.0,35027.5,73.0,18297.75,27696.5,246.0,70.5,97.25,15699.75,39567.25,1082.75,249.5,491.25,1384.25,65218.25,555.5,27844.25,171.0,3191.0,159.75,2159.0,60450.5,1124.25,63842.75,54563.5,62047.25,8715.5,285.5,983.0,81362.0,163.0,62979.5
JE99,1,1634.75,910.25,155.75,5312.0,103.0,12915.75,97.75,188.5,187.5,294.0,11300.25,753.0,176.5,297.25,10363.5,144.75,10566.5,9467.75,11898.75,2840.5,249.5,21802.75,11552.75,90.0,8798.25,6306.5,239.75,77.75,101.25,14477.25,50665.0,516.0,276.5,500.5,657.5,45255.25,618.5,4716.75,382.25,906.75,219.5,2800.25,37822.75,537.25,44903.25,39078.5,46460.5,10689.75,351.5,718.5,57921.75,112.0,45096.5
EE71,1,1011.25,2629.5,163.25,717.5,129.0,14824.5,583.5,447.5,247.0,449.75,6581.5,4201.0,458.25,143.5,8233.0,160.0,7810.75,7285.25,11799.5,878.25,260.0,14736.75,8799.0,91.0,3558.5,10069.5,197.5,684.5,3854.25,890.5,46590.5,861.5,229.5,337.25,602.25,26810.0,7317.5,15514.75,6445.75,1190.25,204.5,307.25,23753.0,280.75,25326.75,20843.5,33288.25,2396.5,292.75,445.0,37624.0,127.5,22997.0
GC03,1,26558.75,28443.75,249.25,7998.25,115.5,47525.0,100.5,1526.75,776.75,2154.25,74650.5,30054.0,4980.0,1979.0,59517.5,1629.75,71842.75,62617.25,73562.0,16832.0,4434.75,82964.75,65797.5,103.75,13095.0,16898.0,228.5,114.0,93.0,7074.5,41198.25,605.5,639.25,429.5,829.5,53665.25,1810.0,17950.0,599.0,3064.0,220.25,904.75,51199.25,1019.5,52835.5,50369.75,65257.5,7894.5,392.0,1808.75,74020.25,134.0,55961.0
GH35,2,5675.25,3068.0,253.0,8517.0,111.0,62170.25,1279.5,603.25,2044.5,801.0,42367.75,8643.5,2103.5,665.0,38700.5,1258.75,34540.25,30059.5,46476.0,12203.25,2008.0,51014.5,48659.25,67.25,10266.5,7263.0,376.5,590.0,1141.5,12148.25,77634.25,2048.5,25332.0,8258.75,1806.75,38414.0,133868.5,20636.5,137323.0,9199.0,35246.5,1686.0,35947.5,7427.75,40243.5,41005.0,39573.0,37567.0,21598.0,15888.5,52477.5,1070.75,33697.5
GJ04,1,15624.75,12164.5,482.0,1178.5,140.5,75985.75,109.5,2045.25,5759.5,2630.5,52722.0,15413.5,5453.0,601.25,45914.75,3717.75,43181.0,47605.0,58010.5,23094.0,7695.5,59901.5,49960.0,112.0,7793.5,4008.25,224.0,145.5,111.75,999.75,63547.5,605.5,5435.75,2509.25,1069.25,30691.0,79123.0,7456.5,84686.25,2833.0,12748.25,331.0,30037.75,1867.75,31355.75,26020.0,36084.0,16555.75,5819.25,3818.75,42641.5,236.75,33845.0
GK91,1,497.5,1311.5,182.0,1501.0,106.75,985.0,596.25,159.5,696.0,217.75,7228.0,2945.25,187.0,80.0,7228.75,106.5,6667.0,4623.5,7028.0,532.75,409.75,21533.5,7762.5,91.5,709.5,2365.0,216.75,68.25,103.5,1578.75,1868.0,174.0,144.25,721.5,240.0,10642.5,200.25,5806.75,233.0,256.25,68.5,127.75,10435.75,169.5,10630.25,11284.0,14395.0,742.0,93.75,516.5,34765.5,122.75,17034.5
GM41,1,17574.0,16532.5,298.25,23281.25,114.0,85371.25,3047.5,2566.5,5044.0,2016.75,69029.25,16436.5,15137.0,3686.75,59534.5,7825.25,63018.5,56090.75,61901.0,18394.0,16526.0,72713.5,67757.25,200.0,10722.5,6876.0,222.5,791.5,4174.25,12792.5,72974.75,604.5,2629.0,2458.0,688.0,37453.25,15629.75,9492.25,17109.0,7170.75,1275.5,1541.75,41948.25,4853.0,43090.25,40720.75,43863.0,11662.25,1657.25,9734.0,54341.5,178.5,45369.25
GM62,1,2123.75,1918.25,179.5,3629.5,113.25,6950.0,77.75,134.25,399.75,220.0,6648.75,2871.0,574.5,136.75,6827.5,144.5,5409.25,4834.0,9154.5,634.75,273.5,12732.5,7969.0,84.75,4600.0,4999.5,167.5,70.5,93.0,4395.0,9105.0,170.5,180.75,487.75,221.75,14364.0,164.75,6820.75,374.0,678.5,147.0,135.0,10218.25,139.5,11255.25,8873.0,10504.0,952.75,87.5,295.5,22309.25,103.0,13437.25
GN03,1,3805.25,3591.75,193.5,6316.0,97.5,47513.25,86.5,210.75,296.0,233.0,15937.5,3318.5,509.25,221.25,13982.5,191.0,14551.25,11015.5,16735.5,2532.0,556.0,25223.5,17616.75,72.5,4112.25,5287.25,147.75,64.5,86.5,7178.75,44386.0,145.25,171.25,326.75,230.25,21774.75,166.75,4079.5,222.25,531.25,172.5,287.0,16667.5,178.5,19845.5,12181.25,20572.25,2230.0,155.25,573.0,27133.75,109.5,14010.75
HE88,1,2346.5,6989.0,169.5,2605.25,107.5,22278.0,129.5,271.25,167.0,362.0,16975.0,10538.5,854.5,254.0,17009.25,136.75,20072.0,15055.5,19174.75,2063.0,356.0,33967.5,19429.0,87.5,5774.25,10360.0,127.0,49.0,103.0,3385.25,38061.0,263.75,139.0,206.0,361.5,30526.25,151.25,16103.5,205.25,1100.75,211.75,380.5,27543.25,137.5,30378.75,23991.5,29435.0,3830.5,118.25,490.25,44232.5,122.0,28969.5
